epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.506,3.1519,4.94107,2.07085,0.00014,0.00176,7e-05,2e-05,2.83295,4.71319,1.89295,0.000331111,0.000331111,0.000331111
2,494.078,2.58001,4.0513,1.6026,0.05083,0.05757,0.02464,0.00745,2.88461,49.9624,1.8891,0.000598664,0.000598664,0.000598664
3,740.198,2.51604,3.61735,1.52726,0.02989,0.06608,0.01734,0.00721,2.79952,5.15226,1.75688,0.000800218,0.000800218,0.000800218
4,1001.46,2.40311,3.28675,1.46658,0.11962,0.1107,0.04973,0.02303,2.74805,24.7947,2.13237,0.000703,0.000703,0.000703
